gemeinde_bezeichnung;wahlbeteiligung
Witterswil;45.664739884
Hauenstein-Ifenthal;53.67965368
Kienberg;43.434343434
Lostorf;48.020654045
Niedergösgen;43.779800607
Obergösgen;44.374120956
Rohr (SO);44.444444444
Stüsslingen;49.58283671
Trimbach;37.634713556
Winznau;45.102339181
Wisen (SO);51.470588235
Erlinsbach (SO);43.808745403
Aeschi (SO);46.453546454
Biberist;41.438356164
Bolken;45.154185022
Deitingen;50.756200847
Derendingen;38.57442348
Etziken;41.666666667
Gerlafingen;36.989409985
Halten;48.952095808
Horriwil;47.158218126
Hüniken;58.260869565
Kriegstetten;46.823770492
Lohn-Ammannsegg;51.067696502
Luterbach;43.627246135
Obergerlafingen;40.51054384
Oekingen;50.558213716
Recherswil;42.03480589
Subingen;42.377495463
Zuchwil;37.561083963
Drei Höfe;47.899159664
Balm bei Günsberg;63.125
Bellach;43.49568434
Bettlach;41.106604867
Feldbrunnen-St. Niklaus;65.167095116
Flumenthal;42.125984252
Grenchen;34.63965798
Günsberg;46.501614639
Hubersdorf;43.793103448
Kammersrohr;56.25
Langendorf;49.504950495
Lommiswil;52.140410959
Oberdorf (SO);54.198473282
Riedholz;47.697756789
Rüttenen;57.105263158
Selzach;40.432612313
Boningen;39.162112933
Däniken;41.632016632
Dulliken;39.196179865
Eppenberg-Wöschnau;36.363636364
Fulenbach;43.701399689
Gretzenbach;46.430644225
Gunzgen;38.306789606
Hägendorf;43.042270904
Kappel (SO);42.361761949
Olten;49.339092873
Rickenbach (SO);37.313432836
Schönenwerd;38.13755796
Starrkirch-Wil;57.36497545
Walterswil (SO);35.357142857
Wangen bei Olten;40.962009804
Solothurn;53.414572226
Bärschwil;42.457231726
Beinwil (SO);53.623188406
Breitenbach;41.014198783
Büsserach;38.755980861
Erschwil;48.563218391
Fehren;45.435244161
Grindel;39.598997494
Himmelried;44.945355191
Kleinlützel;38.923395445
Meltingen;47.368421053
Nunningen;47.428958051
Zullwil;43.254817987
Basel;49.393949312
Bettingen;60.664819945
Riehen;54.376292212
Aesch (BL);35.596248325
Allschwil;37.710283931
Arlesheim;48.486799742
Biel-Benken;49.081257656
Binningen;47.583493088
Birsfelden;35.040726817
Bottmingen;50.292260931
Ettingen;42.216854536
Münchenstein;42.120860714
Muttenz;40.406617829
Oberwil (BL);44.722598106
Pfeffingen;51.213735938
Reinach (BL);39.088023535
Schönenbuch;46.061167748
Therwil;42.203952113
Blauen;48.888888889
Brislach;33.910891089
Burg im Leimental;43.127962085
Dittingen;38.389513109
Duggingen;38.173076923
Grellingen;36.402753873
Laufen;41.151919866
Liesberg;40.67207416
Nenzlingen;38.988095238
Roggenburg;35.682819383
Röschenz;47.263681592
Wahlen;36.621004566
Zwingen;31.743958197
Arisdorf;41.06557377
Augst;45.685997171
Bubendorf;47.810913706
Frenkendorf;40.692286727
Füllinsdorf;41.492748497
Giebenach;36.070381232
Hersberg;51.219512195
Lausen;42.046163444
Liestal;46.119336025
Lupsingen;49.714285714
Pratteln;34.259919221
Ramlinsburg;54.05904059
Seltisberg;57.434402332
Ziefen;54.061135371
Anwil;47.867298578
Böckten;48.979591837
Buckten;47.717842324
Buus;41.584158416
Diepflingen;39.245283019
Gelterkinden;46.530707923
Häfelfingen;48.947368421
Hemmiken;42.512077295
Itingen;44.468390805
Känerkinden;48.529411765
Kilchberg (BL);69.230769231
Läufelfingen;48.016701461
Maisprach;48.350071736
Nusshof;43.62745098
Oltingen;58.469945355
Ormalingen;41.776710684
Rickenbach (BL);47.139588101
Rothenfluh;45.226130653
Rümlingen;46.468401487
Rünenberg;59.228187919
Sissach;50.235747964
Tecknau;34.930139721
Tenniken;38.737446198
Thürnen;36.772777168
Wenslingen;54.481546573
Wintersingen;48.155737705
Wittinsburg;56.666666667
Zeglingen;55.380577428
Zunzgen;42.464985994
Arboldswil;52.008928571
Bennwil;40
Bretzwil;40.924657534
Diegten;42.522974102
Eptingen;46.428571429
Hölstein;41.401273885
Lampenberg;54.12371134
Langenbruck;40.028490028
Lauwil;38.524590164
Liedertswil;47.933884298
Niederdorf;37.864887406
Oberdorf (BL);40.267175573
Reigoldswil;44.235695986
Titterten;54.938271605
Waldenburg;36.452513966
Gächlingen;64.64339909
Löhningen;66.828793774
Neunkirch;66.541117389
Büttenhardt;67.845659164
Dörflingen;66.568483063
Lohn (SH);70.555555556
Stetten (SH);73.416289593
Thayngen;65.547191662
Bargen (SH);56.768558952
Beringen;57.327858497
Buchberg;68.215892054
Merishausen;76.241134752
Neuhausen am Rheinfall;50.270774977
Rüdlingen;63.066202091
Schaffhausen;57.711593326
Beggingen;69.72972973
Schleitheim;62.191103789
Siblingen;59.293394777
Buch (SH);59.615384615
Hemishofen;62.75659824
Ramsen;58.830022075
Stein am Rhein;57.905982906
Hallau;62.540716612
Oberhallau;67.164179104
Trasadingen;63.116883117
Wilchingen;65.657370518
Herisau;35.771971496
Hundwil;38.525730181
Schönengrund;45.25
Schwellbrunn;50.850340136
Stein (AR);49.764816557
Urnäsch;41.133896261
Waldstatt;50.115651503
Bühler;42.946990117
Gais;45.293072824
Speicher;47.617554859
Teufen (AR);44.555084746
Trogen;51.639969489
Grub (AR);38.942976356
Heiden;38.995046001
Lutzenberg;34.490740741
Rehetobel;44.235116805
Reute (AR);41.634980989
Wald (AR);38.68065967
Walzenhausen;33.0472103
Wolfhalden;33.612804878
Appenzell;50.195465207
Gonten;54.921803128
Rüte;53.645066274
Schlatt-Haslen;47.435897436
Schwende-Rüte;51.26870527
Oberegg;40.551724138
Häggenschwil;53.870292887
Muolen;46.875
St. Gallen;42.893115698
Wittenbach;38.826530612
Berg (SG);52.333333333
Eggersriet;47.6075106
Goldach;38.439452795
Mörschwil;53.990258524
Rorschach;34.835566382
Rorschacherberg;42.453464902
Steinach;37.323321555
Tübach;49.440488301
Untereggen;51.994851995
Au (SG);37.129785697
Balgach;43.113176236
Berneck;45.984251969
Diepoldsau;39.147088866
Rheineck;37.407407407
